Fechas,Prophet,Test,1 Step,Multiple Step,Arima,Sarima,Pycaret,Skforecast,Skforecast Exogenas,Fast Forward
2023-01-01,563.41,501.61,527.16,527.16,526.77,514.89,522.05,543.3,543.92,566.88
2023-01-02,675.06,617.39,590.93,605.67,561.85,555.4,614.72,626.22,624.27,558.38
2023-01-03,699.07,672.48,656.82,619.82,597.57,591.55,636.18,684.74,688.4,669.1
2023-01-04,705.83,685.39,681.52,617.63,612.24,598.0,642.38,697.66,693.12,686.99
2023-01-05,708.46,666.7,688.99,616.55,622.92,606.58,643.5,700.43,684.59,702.57
2023-01-06,706.8,574.99,660.33,605.02,605.12,579.35,639.97,660.75,654.88,706.61
2023-01-07,642.34,619.84,575.19,551.47,565.58,527.43,581.7,597.41,585.49,646.73
2023-01-08,599.55,608.37,604.59,525.02,554.72,521.96,541.05,563.75,560.26,567.1
2023-01-09,714.3,696.79,691.69,592.05,573.94,553.77,636.98,647.43,652.75,580.37
2023-01-10,740.83,726.43,711.05,590.2,591.14,575.49,656.98,696.36,694.11,683.54
2023-01-11,749.49,734.48,727.52,580.74,604.39,585.28,661.21,692.67,685.14,692.76
2023-01-12,753.35,738.45,735.1,571.31,610.5,590.76,661.03,687.59,667.06,706.75
2023-01-13,752.25,733.39,729.67,536.63,594.82,569.12,656.56,660.01,653.42,712.42
2023-01-14,687.67,657.91,660.73,521.9,573.06,538.25,596.44,608.19,591.47,660.47
2023-01-15,644.09,610.96,608.52,519.56,569.89,534.74,554.28,577.93,548.83,569.43
2023-01-16,757.4,750.15,728.29,553.69,579.15,551.44,651.93,656.33,636.36,595.88
2023-01-17,781.88,753.7,767.94,575.24,589.2,565.17,671.73,694.86,683.07,692.0
2023-01-18,787.91,775.58,752.37,586.32,599.31,572.08,675.35,693.16,687.24,697.8
2023-01-19,788.65,785.12,780.56,584.61,601.31,573.33,674.51,691.76,673.0,708.41
2023-01-20,783.98,753.14,782.52,570.51,590.06,561.27,669.33,658.27,655.84,714.73
2023-01-21,715.46,672.61,665.8,529.92,578.85,545.38,607.54,596.42,591.24,666.01
2023-01-22,667.67,645.0,620.44,522.34,577.63,547.25,564.16,563.27,546.62,568.06
2023-01-23,776.56,782.74,750.42,566.08,582.09,554.35,663.04,651.49,638.96,606.12
2023-01-24,796.52,820.85,801.72,570.85,588.82,559.28,682.68,697.84,704.49,696.71
2023-01-25,798.0,811.59,836.64,565.21,595.5,566.22,685.88,700.49,702.76,701.31
2023-01-26,794.26,812.68,804.71,549.66,595.33,567.1,684.57,698.54,683.99,708.88
2023-01-27,785.25,801.41,812.54,526.69,588.25,555.77,678.88,662.46,662.53,715.49
2023-01-28,712.61,713.93,713.63,519.92,582.5,546.78,615.83,609.01,604.97,666.74
2023-01-29,660.99,671.08,673.04,520.18,581.67,550.63,571.52,587.63,560.18,564.38
2023-01-30,766.41,790.42,790.9,543.65,584.07,554.17,671.33,673.99,670.55,614.32
2023-01-31,783.29,799.23,795.94,568.21,588.72,555.95,690.84,714.44,801.99,699.55
2023-02-01,782.15,797.14,797.79,582.68,592.64,562.78,693.73,718.16,801.07,703.88
2023-02-02,776.24,786.53,791.55,579.47,591.82,564.76,692.06,718.85,792.78,709.29
2023-02-03,765.57,771.44,773.66,565.96,587.68,559.82,686.0,675.8,775.06,716.07
2023-02-04,691.76,679.44,691.01,529.38,584.59,552.19,622.01,618.49,686.13,664.86
2023-02-05,639.45,633.46,626.63,522.02,583.92,550.96,577.01,591.67,647.49,559.26
2023-02-06,744.66,769.94,739.71,557.49,585.45,553.28,677.5,688.14,742.05,622.5
2023-02-07,761.76,802.74,783.36,570.95,588.55,554.81,696.92,727.94,753.12,701.78
2023-02-08,761.26,800.4,816.4,570.8,590.67,557.4,699.57,731.57,758.32,706.21
2023-02-09,756.35,790.02,791.52,556.18,589.87,558.84,697.64,729.57,763.11,710.2
2023-02-10,746.97,786.76,783.69,530.95,587.53,557.95,691.29,689.3,759.44,717.12
2023-02-11,674.71,691.73,703.2,520.43,585.75,554.35,626.6,622.58,687.3,661.39
2023-02-12,624.14,643.94,638.58,520.29,585.27,552.02,581.09,598.16,637.21,552.91
2023-02-13,731.2,759.16,777.72,543.33,586.34,553.85,682.08,698.15,734.05,631.83
2023-02-14,750.23,771.92,763.28,569.24,588.3,556.87,701.43,712.8,753.51,704.18
2023-02-15,751.64,759.94,773.93,581.71,589.39,561.54,703.9,717.37,759.31,708.9
2023-02-16,748.58,751.91,749.15,576.57,588.83,559.35,701.78,719.58,757.4,711.94
2023-02-17,740.94,741.34,746.59,561.5,587.49,555.17,695.21,690.73,745.77,718.93
2023-02-18,670.25,652.88,666.68,527.73,586.4,553.95,630.01,624.65,668.32,656.58
2023-02-19,621.04,599.92,598.23,521.67,586.12,552.19,584.11,590.18,616.97,545.05
2023-02-20,729.21,699.61,703.16,554.64,586.88,550.94,685.47,701.4,719.88,643.09
2023-02-21,749.08,714.51,708.66,572.14,588.06,553.84,704.77,715.78,733.53,707.31
2023-02-22,751.04,719.05,716.41,575.15,588.62,559.25,707.11,718.8,714.83,712.54
2023-02-23,748.23,740.34,712.94,561.53,588.26,558.6,704.84,719.37,705.07,714.86
2023-02-24,740.54,735.93,746.31,536.56,587.47,554.77,698.11,693.46,712.23,721.74
2023-02-25,669.5,665.3,657.79,521.65,586.8,554.69,632.52,625.26,645.68,650.2
2023-02-26,619.67,627.32,613.67,520.48,586.67,555.04,586.34,586.95,602.98,534.99
2023-02-27,726.98,763.33,729.31,544.85,587.18,557.03,687.97,704.14,713.3,656.91
2023-02-28,745.76,768.84,784.56,570.48,587.87,556.2,707.22,725.29,722.49,711.69
2023-03-01,746.45,785.12,769.48,577.37,588.16,555.94,709.46,724.37,713.46,717.78
2023-03-02,742.23,790.87,788.09,567.07,587.94,556.28,707.08,723.13,780.14,719.35
2023-03-03,733.02,767.73,792.14,547.32,587.46,553.87,700.23,698.45,774.1,725.77
2023-03-04,660.41,669.28,683.19,523.95,587.05,551.6,634.36,632.13,690.32,641.45
2023-03-05,609.0,631.39,619.97,520.88,587.0,552.44,587.97,582.79,628.4,521.54
2023-03-06,714.75,734.79,736.37,547.04,587.34,556.13,689.79,698.76,760.88,673.98
