Fechas,Emisiones Motores diésel,Emisiones Turbina de gas,Emisiones Turbina de vapor,Emisiones Ciclo combinado,Emisiones Cogeneración,Emisiones Residuos no renovables,Total tCO2 eq.,tCO2 eq./MWh,Emisiones Carbón
2014-08-01,7921.88,2236.33,5361.02,30352.01,25975.34,1475.83,247145.18,0.33,173822.78
2014-08-02,7784.07,1678.06,4751.97,22092.77,23523.61,1471.15,201704.57,0.3,140402.94
2014-08-03,7483.51,1665.99,4079.9,26182.17,21659.56,1478.46,216905.44,0.35,154355.84
2014-08-04,8053.26,2235.35,5407.29,35543.03,24336.56,1309.36,261151.06,0.36,184266.22
2014-08-05,7837.0,2214.94,5232.38,37612.21,25107.16,1262.29,264824.36,0.37,185558.37
2014-08-06,8190.88,2010.29,5138.06,39326.26,25088.48,1294.07,264249.35,0.36,183201.32
2014-08-07,7970.38,2434.17,5259.62,40026.02,25218.31,1503.74,262751.57,0.35,180339.33
2014-08-08,7830.31,2217.82,5486.27,37831.28,25420.01,1510.59,255385.77,0.33,175089.5
2014-08-09,7871.53,1968.24,4959.37,32704.98,23519.72,1495.32,231139.38,0.33,158620.22
2014-08-10,7683.25,1530.34,4133.16,27923.98,22322.8,1478.35,170370.74,0.27,105298.86
2014-08-11,8234.21,1996.64,5569.84,36717.56,24688.47,1365.77,244026.49,0.34,165454.0
2014-08-12,7905.58,2170.55,5685.36,35352.63,24814.74,1264.57,243261.13,0.33,166067.7
2014-08-13,8104.23,1846.96,5618.52,31011.31,24389.21,1268.22,197585.57,0.27,125347.12
2014-08-14,8105.38,1698.79,5499.55,36044.9,25541.49,1312.0,232816.24,0.34,154614.13
2014-08-15,7639.48,1458.56,4247.79,26246.79,22929.77,1330.73,199309.56,0.32,135456.45
2014-08-16,7731.13,1390.7,4713.96,25934.06,21859.78,1274.97,147793.09,0.23,84888.49
2014-08-17,7544.62,1424.06,4078.0,28895.21,21579.05,1296.96,176134.83,0.29,111316.93
2014-08-18,7635.74,2078.97,5387.24,34362.44,24686.71,1238.53,231693.41,0.33,156303.78
2014-08-19,7687.88,2341.06,5436.19,36357.93,25928.72,1323.01,251233.92,0.36,172159.13
2014-08-20,7963.99,3055.3,5685.86,34070.44,26205.94,1382.79,243202.99,0.34,164838.67
2014-08-21,8585.51,2793.9,5738.64,37072.36,25865.1,1423.9,253944.37,0.36,172464.97
2014-08-22,8389.54,2346.73,5580.55,34964.14,25659.93,1369.36,255488.83,0.36,177178.57
2014-08-23,7828.33,1674.01,4754.05,29143.11,23070.87,1392.16,231765.87,0.36,163903.35
2014-08-24,7476.4,1343.52,3876.59,27744.51,22643.36,1385.06,213926.19,0.35,149456.75
2014-08-25,8074.38,2100.83,5433.29,32558.58,25032.52,1474.13,249738.24,0.34,175064.52
2014-08-26,8173.14,2391.54,5734.65,28558.08,24881.94,1488.87,251690.48,0.32,180462.25
2014-08-27,8255.41,2557.65,5819.94,38941.19,25565.25,1453.57,281559.06,0.36,198966.04
2014-08-28,8606.63,2618.8,6055.16,42937.97,25737.12,1542.21,284892.77,0.37,197394.87
2014-08-29,8399.86,2372.85,5889.84,43185.09,25464.72,1566.07,276527.35,0.36,189648.92
2014-08-30,8097.2,2602.0,5083.36,32894.69,23135.28,1543.45,249391.44,0.35,176035.46
2014-08-31,7798.3,1812.15,4899.45,27114.3,22699.66,1559.82,233656.68,0.35,167773.0
2014-09-01,8074.19,3254.44,6756.88,48957.84,25656.25,1508.76,290793.29,0.37,196584.93
2014-09-02,8506.97,2597.57,6839.68,55661.29,26489.63,1529.93,306495.95,0.38,204870.88
2014-09-03,8265.33,3050.82,6761.32,58353.21,26928.61,1528.68,314238.83,0.39,209350.85
2014-09-04,8308.9,3374.21,6836.12,52659.58,27579.84,1531.26,310476.6,0.39,210186.7
2014-09-05,8328.54,2846.88,6807.44,59952.81,27481.6,1474.18,321442.73,0.4,214551.28
2014-09-06,8094.9,3757.8,5463.4,37709.36,25057.91,1546.15,289155.32,0.4,207525.8
2014-09-07,7905.8,2342.81,5131.06,32653.27,23378.2,1505.45,268287.94,0.4,195371.36
2014-09-08,8141.81,2964.97,6111.68,50090.41,26089.0,1521.68,302591.85,0.39,207672.29
2014-09-09,7870.01,4147.94,6286.06,54818.0,27052.19,1495.84,315187.98,0.4,213517.93
2014-09-10,8157.99,4107.19,6498.16,51808.65,26832.45,1476.72,317024.45,0.41,218143.3
2014-09-11,8069.17,3885.33,6003.25,42457.77,27359.51,1521.05,300345.03,0.39,211048.95
2014-09-12,7918.19,3870.74,5561.96,39625.15,27248.6,1522.55,296328.61,0.38,210581.43
2014-09-13,7616.67,3530.63,5192.15,27671.11,25306.13,1551.19,268863.3,0.39,197995.43
2014-09-14,7170.55,2979.68,4524.73,25823.39,23957.87,1564.72,243051.6,0.37,177030.66
2014-09-15,7638.66,3413.19,4524.23,43033.2,26876.53,1571.31,276252.73,0.38,189195.61
2014-09-16,7455.47,3748.78,3328.01,32626.11,27126.9,1504.34,244720.99,0.32,168931.38
2014-09-17,7429.79,3409.99,3077.53,37871.29,26113.79,1504.7,226014.85,0.3,146607.76
