Fechas,Generación Renovables GWh,Generación No renovables GWh
2014-08-01,251.77,499.57
2014-08-02,242.18,429.53
2014-08-03,166.05,450.89
2014-08-04,204.51,518.0
2014-08-05,204.14,528.43
2014-08-06,215.01,530.78
2014-08-07,218.95,533.58
2014-08-08,250.55,515.55
2014-08-09,230.0,478.23
2014-08-10,241.02,405.05
2014-08-11,228.11,503.34
2014-08-12,238.97,497.58
2014-08-13,306.27,437.19
2014-08-14,224.53,467.9
2014-08-15,224.49,410.48
2014-08-16,296.47,355.49
2014-08-17,226.23,388.83
2014-08-18,239.97,463.48
2014-08-19,224.35,489.32
2014-08-20,233.65,480.53
2014-08-21,210.44,499.18
2014-08-22,215.71,498.35
2014-08-23,201.42,453.57
2014-08-24,177.24,442.24
2014-08-25,245.16,499.33
2014-08-26,288.93,496.18
2014-08-27,241.86,549.99
2014-08-28,223.28,556.27
2014-08-29,226.28,543.54
2014-08-30,217.38,499.47
2014-08-31,199.96,473.06
2014-09-01,227.83,576.82
2014-09-02,207.29,601.26
2014-09-03,194.71,613.5
2014-09-04,206.49,599.1
2014-09-05,182.34,621.32
2014-09-06,169.73,546.72
2014-09-07,158.09,520.24
2014-09-08,165.2,603.52
2014-09-09,163.01,629.91
2014-09-10,152.4,631.22
2014-09-11,178.06,595.5
2014-09-12,189.73,587.64
2014-09-13,154.0,533.37
2014-09-14,156.2,503.16
2014-09-15,163.73,569.24
2014-09-16,250.66,517.61
2014-09-17,261.62,499.37
2014-09-18,252.38,500.08
2014-09-19,226.04,527.88
2014-09-20,153.26,518.03
2014-09-21,121.42,506.48
2014-09-22,182.21,562.48
2014-09-23,178.17,559.39
2014-09-24,198.47,543.94
2014-09-25,206.61,537.76
2014-09-26,168.3,556.97
2014-09-27,161.69,502.01
2014-09-28,110.17,499.14
2014-09-29,123.69,583.46
2014-09-30,157.62,573.49
2014-10-01,197.19,543.87
2014-10-02,190.1,554.37
2014-10-03,155.45,565.23
2014-10-04,140.85,505.31
2014-10-05,156.0,469.28
2014-10-06,214.06,498.88
2014-10-07,244.82,487.73
2014-10-08,262.08,476.35
2014-10-09,209.4,526.02
2014-10-10,153.04,550.67
2014-10-11,172.4,465.7
2014-10-12,250.2,358.9
2014-10-13,193.09,472.53
2014-10-14,188.78,519.84
2014-10-15,288.54,451.32
2014-10-16,299.97,441.61
2014-10-17,282.78,431.25
2014-10-18,270.97,363.99
2014-10-19,210.13,384.33
2014-10-20,191.54,519.54
2014-10-21,213.02,525.55
2014-10-22,258.97,497.46
2014-10-23,227.65,512.08
2014-10-24,196.66,523.02
2014-10-25,152.83,484.19
2014-10-26,129.35,495.21
2014-10-27,156.6,547.17
2014-10-28,170.69,541.47
