Fechas,Generación Hidráulica GWh,Generación Nuclear GWh,Generación Carbón GWh,Generación Motores diésel GWh,Generación Turbina de gas GWh,Generación Turbina de vapor GWh,Generación Ciclo combinado GWh,Generación Hidroeólica GWh,Generación Eólica GWh,Generación Solar fotovoltaica GWh,Generación Otras renovables GWh,Generación Cogeneración GWh,Generación Residuos no renovables GWh,Generación Residuos renovables GWh,Generación Solar térmica GWh
2014-08-01,72.26,144.09,182.97,9.95,3.37,6.02,72.49,0.01,119.24,27.77,11.44,68.36,6.15,2.2,18.85
2014-08-02,61.77,143.48,147.79,9.79,2.77,5.34,50.52,0.01,117.57,27.9,11.56,61.9,6.13,2.1,21.27
2014-08-03,55.57,143.32,162.48,9.4,2.75,4.58,61.77,0.01,41.36,30.14,11.49,57.0,6.16,2.05,25.43
2014-08-04,75.06,144.01,193.96,10.1,3.39,6.08,86.47,0.01,56.16,30.94,11.92,64.04,5.46,1.37,29.06
2014-08-05,77.45,143.56,195.32,9.82,3.32,5.88,91.95,0.01,51.62,31.51,11.76,66.07,5.26,1.68,30.11
2014-08-06,78.42,143.52,192.84,10.29,3.15,5.77,96.61,0.01,60.61,31.62,11.64,66.02,5.39,2.23,30.47
2014-08-07,86.0,143.54,189.83,10.04,3.55,5.91,98.76,0.01,57.71,31.26,11.35,66.36,6.27,2.32,30.3
2014-08-08,72.12,143.51,184.3,9.89,3.45,6.16,92.75,0.01,105.5,30.29,11.3,66.89,6.29,2.12,29.22
2014-08-09,62.65,143.05,166.97,9.94,3.41,5.57,79.14,0.01,96.88,28.69,11.41,61.89,6.23,2.01,28.36
2014-08-10,59.38,142.49,110.84,9.69,2.81,4.64,66.34,0.01,107.98,31.52,11.51,58.74,6.16,1.99,28.62
2014-08-11,79.74,143.1,174.16,10.42,3.32,6.26,89.55,0.01,75.29,30.96,10.73,64.97,5.69,1.55,29.84
2014-08-12,65.03,142.86,174.81,10.05,3.32,6.39,86.05,0.01,104.06,29.35,11.11,65.3,5.27,1.15,28.25
2014-08-13,62.47,138.77,131.94,10.24,3.02,6.31,74.4,0.01,172.2,30.86,10.86,64.18,5.28,1.17,28.7
2014-08-14,72.81,119.01,162.75,10.19,2.77,6.18,87.95,0.01,80.74,30.22,10.54,67.21,5.47,1.21,28.99
2014-08-15,56.1,119.25,142.59,9.58,2.64,4.77,62.17,0.01,96.32,30.28,10.79,60.34,5.54,1.33,29.66
2014-08-16,46.71,119.35,89.36,9.65,2.49,5.3,60.78,0.01,179.64,28.99,11.0,57.53,5.31,1.36,28.76
2014-08-17,49.63,119.23,117.18,9.39,2.42,4.58,69.23,0.01,105.87,30.44,10.96,56.79,5.4,1.36,27.97
2014-08-18,67.14,118.89,164.53,9.56,3.04,6.05,83.3,0.01,114.6,25.56,11.38,64.97,5.16,1.26,20.02
2014-08-19,69.39,119.14,181.22,9.58,3.49,6.11,88.89,0.01,88.46,29.98,11.84,68.23,5.51,1.42,23.26
2014-08-20,69.28,122.07,173.51,9.95,4.01,6.39,82.4,0.01,94.96,29.47,11.88,68.96,5.76,1.53,26.52
2014-08-21,70.49,128.37,181.54,10.72,3.87,6.45,90.29,0.0,68.99,29.35,11.91,68.07,5.93,1.57,28.14
2014-08-22,60.86,129.17,186.5,10.49,3.44,6.27,84.6,0.01,89.3,25.77,11.7,67.53,5.71,1.55,26.52
2014-08-23,57.51,122.28,172.53,9.78,2.88,5.34,69.37,0.01,73.93,30.31,11.54,60.71,5.8,1.56,26.57
2014-08-24,50.99,134.55,157.32,9.33,2.46,4.36,66.12,0.01,56.09,30.11,11.05,59.59,5.77,1.57,27.43
2014-08-25,58.41,142.27,184.28,10.13,3.2,6.1,78.39,0.01,115.15,30.67,10.84,65.88,6.14,2.04,28.05
2014-08-26,57.11,142.8,189.96,10.25,3.57,6.44,67.41,0.01,161.09,30.11,10.33,65.48,6.2,2.29,27.98
2014-08-27,76.38,142.26,209.44,10.37,3.7,6.54,95.46,0.01,95.56,29.96,10.4,67.28,6.06,2.3,27.25
2014-08-28,95.16,140.92,207.78,10.79,3.59,6.8,106.26,0.01,59.1,29.43,11.42,67.73,6.43,2.33,25.82
2014-08-29,73.43,140.79,199.63,10.52,3.46,6.62,106.97,0.01,87.83,26.98,11.7,67.01,6.53,2.36,23.96
2014-08-30,59.44,142.88,185.3,10.16,3.61,5.71,80.17,0.01,95.61,25.21,11.5,60.88,6.43,2.36,23.25
2014-08-31,46.13,142.87,176.6,9.75,2.8,5.51,64.73,0.01,87.48,28.39,11.05,59.74,6.5,2.37,24.54
2014-09-01,77.37,142.84,206.93,10.09,4.05,7.59,122.21,0.01,83.46,28.31,11.38,67.52,6.29,2.3,24.99
2014-09-02,79.43,142.75,215.65,10.65,3.52,7.69,140.36,0.0,69.32,27.05,11.5,69.71,6.37,2.33,17.66
2014-09-03,80.72,142.88,220.37,10.38,3.83,7.6,147.83,-0.0,50.73,28.49,11.06,70.86,6.37,2.32,21.38
2014-09-04,88.67,142.83,221.25,10.4,4.14,7.68,132.29,-0.0,51.42,28.47,11.29,72.58,6.38,2.36,24.3
2014-09-05,82.93,142.56,225.84,10.44,3.68,7.65,151.98,0.0,32.77,28.64,11.5,72.32,6.14,2.31,24.18
2014-09-06,62.51,142.75,218.45,10.1,4.43,6.14,91.97,0.0,51.22,25.58,11.3,65.94,6.44,2.37,16.75
2014-09-07,45.32,146.75,205.65,9.85,3.29,5.77,78.81,0.0,67.26,22.14,11.09,61.52,6.27,2.36,9.9
2014-09-08,85.71,161.96,218.6,10.22,3.74,6.87,125.26,0.0,27.09,24.7,10.52,68.66,6.34,2.31,14.87
2014-09-09,77.59,166.51,224.76,9.89,4.81,7.06,137.61,-0.0,25.55,26.96,10.3,71.19,6.23,2.32,20.31
2014-09-10,59.49,166.39,229.62,10.31,4.5,7.3,129.41,-0.0,33.61,27.38,9.52,70.61,6.15,2.26,20.13
2014-09-11,48.77,166.31,222.16,10.16,4.55,6.75,103.52,0.0,74.54,26.81,8.68,72.0,6.34,2.23,17.02
2014-09-12,62.13,166.08,221.66,9.95,4.56,6.25,95.87,0.0,67.38,27.67,10.4,71.71,6.34,2.24,19.9
2014-09-13,61.96,166.26,208.42,9.56,4.29,5.83,64.88,0.01,33.83,26.17,11.04,66.6,6.46,2.38,18.62
2014-09-14,42.19,165.75,186.35,8.98,3.69,5.08,60.3,0.01,55.79,25.65,11.08,63.05,6.52,2.45,19.04
2014-09-15,60.57,165.56,199.15,9.61,4.16,5.08,103.23,0.0,50.23,24.33,10.68,70.73,6.55,2.4,15.51
2014-09-16,38.94,166.06,177.82,9.35,4.36,3.74,72.64,0.0,177.49,17.6,10.39,71.39,6.27,2.34,3.89
2014-09-17,45.08,153.59,154.32,9.31,4.13,3.46,86.79,0.0,180.62,18.72,10.67,68.72,6.27,2.23,4.3
2014-09-18,44.57,149.59,161.07,9.42,3.84,3.55,89.7,0.01,169.02,21.17,10.71,72.01,6.13,2.15,4.75
2014-09-19,50.82,163.31,167.11,9.57,3.49,3.6,91.83,0.0,139.45,18.71,10.97,74.68,6.39,2.24,3.84
2014-09-20,53.34,166.37,175.36,9.73,3.47,3.61,77.33,0.0,53.86,22.03,11.06,68.86,6.38,2.26,10.73
2014-09-21,43.3,166.81,182.56,9.26,3.04,3.41,65.54,0.0,43.74,17.72,11.46,65.74,6.55,2.26,2.94
2014-09-22,62.9,166.91,190.06,9.17,4.63,3.71,96.46,0.0,85.91,15.14,11.7,72.2,6.44,2.22,4.34
2014-09-23,67.83,166.84,180.46,8.95,4.61,3.98,105.87,0.01,72.97,18.75,11.8,75.02,6.32,2.32,4.5
2014-09-24,52.04,167.37,199.49,9.06,4.17,3.76,74.1,0.0,103.38,20.59,11.8,75.79,6.42,2.35,8.31
2014-09-25,48.05,167.76,189.66,9.46,3.65,3.66,74.84,0.0,102.34,25.44,11.79,75.25,6.42,2.33,16.65
2014-09-26,57.35,167.66,187.95,9.24,4.0,3.69,94.25,0.01,59.7,23.82,11.91,76.06,6.37,2.34,13.18
2014-09-27,42.78,167.77,175.39,9.2,3.49,4.2,64.26,0.01,87.54,15.23,11.94,68.72,6.4,2.4,1.79
2014-09-28,41.57,167.84,163.22,9.02,2.66,4.51,71.56,0.01,34.67,13.82,11.95,65.51,6.34,2.38,5.78
2014-09-29,68.69,167.8,186.53,9.54,3.03,6.13,118.07,0.01,10.36,18.09,11.82,72.78,6.47,2.18,12.54
2014-09-30,64.51,167.51,195.46,9.33,2.89,6.74,105.61,0.01,49.96,21.83,11.78,75.95,6.34,2.01,7.51
