,Fechas,Generación Hidráulica GWh,Generación Nuclear GWh,Generación Carbón GWh,Generación Motores diésel GWh,Generación Turbina de gas GWh,Generación Turbina de vapor GWh,Generación Ciclo combinado GWh,Generación Hidroeólica GWh,Generación Eólica GWh,Generación Solar fotovoltaica GWh,Generación Otras renovables GWh,Generación Cogeneración GWh,Generación Residuos no renovables GWh,Generación Residuos renovables GWh,Generación Solar térmica GWh
0,2014-08-01,4.280270725719494,144.09,5.209322204976474,9.95,3.37,6.02,4.283448621312786,-4.605170185988091,4.781138268809871,3.323956301318708,11.44,4673.0896,37.822500000000005,4.840000000000001,18.85
1,2014-08-02,4.123417809707808,143.48,4.995792347226481,9.79,2.77,5.34,3.9223692974822906,-4.605170185988091,4.76703390087965,3.32862668882732,11.56,3831.6099999999997,37.5769,4.41,21.27
2,2014-08-03,4.01764348729183,143.32,5.090554917272129,9.4,2.75,4.58,4.123417809707808,-4.605170185988091,3.7223142302001735,3.4058531931983493,11.49,3249.0,37.9456,4.2025,25.43
3,2014-08-04,4.318287793706875,144.01,5.267651952237151,10.1,3.39,6.08,4.459797532972339,-4.605170185988091,4.028204759717555,3.43204984514492,11.92,4101.1216,29.8116,1.8769000000000002,29.06
4,2014-08-05,4.349632566862877,143.56,5.274639239193459,9.82,3.32,5.88,4.52124495105033,-4.605170185988091,3.943909194290468,3.4503049557691834,11.76,4365.244899999999,27.667599999999997,2.8223999999999996,30.11
5,2014-08-06,4.362078996864185,143.52,5.261860829537421,10.29,3.15,5.77,4.570682255529419,-4.605170185988091,4.104459895963194,3.453789831781326,11.64,4358.640399999999,29.052099999999996,4.9729,30.47
6,2014-08-07,4.454347296253507,143.54,5.24612893480245,10.04,3.55,5.91,4.592692664476979,-4.605170185988091,4.055430468722875,3.4423393249933305,11.35,4403.6496,39.31289999999999,5.3824,30.3
7,2014-08-08,4.2783313983351166,143.51,5.216564864675778,9.89,3.45,6.16,4.529907701487544,-4.605170185988091,4.658710952916121,3.410817625039146,11.3,4474.2721,39.5641,4.494400000000001,29.22
8,2014-08-09,4.137563681342077,143.05,5.117814155560866,9.94,3.41,5.57,4.371218435957278,-4.605170185988091,4.573473099244837,3.3565486299932736,11.41,3830.3721,38.812900000000006,4.040099999999999,28.36
9,2014-08-10,4.083957469335614,142.49,4.7080877199947775,9.69,2.81,4.64,4.1947930335189065,-4.605170185988091,4.6819460247901405,3.4506222649896783,11.51,3450.3876,37.9456,3.9601,28.62
10,2014-08-11,4.378771341953209,143.1,5.159974416926292,10.42,3.32,6.26,4.494797128506721,-4.605170185988091,4.321347323862031,3.4326960487215263,10.73,4221.1008999999995,32.3761,2.4025000000000003,29.84
11,2014-08-12,4.174848701881061,142.86,5.163699669823092,10.05,3.32,6.39,4.454928522657548,-4.605170185988091,4.644967655862158,3.3792925462741055,11.11,4264.089999999999,27.772899999999996,1.3224999999999998,28.25
12,2014-08-13,4.134686441505479,138.77,4.882347273794725,10.24,3.02,6.31,4.309455941839047,-4.605170185988091,5.14865659199363,3.4294608469350147,10.86,4119.072400000001,27.878400000000003,1.3688999999999998,28.7
13,2014-08-14,4.2878533084066195,119.01,5.092215281088679,10.19,2.77,6.18,4.476768471183568,-4.605170185988091,4.391234115424795,3.4085039568445934,10.54,4517.1840999999995,29.920899999999996,1.4641,28.99
