,€/Mwh,Meses
0,4.092676505121403,2014-09-01
1,4.0402403032289,2014-10-01
2,3.8852682681193262,2014-11-01
3,3.9005575273188677,2014-12-01
4,3.9804290380922063,2015-01-01
5,3.7981821890043865,2015-02-01
6,3.7896293572140793,2015-03-01
7,3.8413859258287055,2015-04-01
8,3.826682958261131,2015-05-01
9,4.016743316198549,2015-06-01
10,4.103139109903596,2015-07-01
11,4.037950562025936,2015-08-01
12,3.9632862993656874,2015-09-01
13,3.928683446321253,2015-10-01
14,3.9642358768750805,2015-11-01
15,3.995996439204325,2015-12-01
16,3.6506582412937387,2016-01-01
17,3.3603753871419,2016-02-01
18,3.3551534431607486,2016-03-01
19,3.2128577525426376,2016-04-01
20,3.286160571673797,2016-05-01
21,3.6709700335703683,2016-06-01
22,3.7152779279684673,2016-07-01
23,3.728821061206884,2016-08-01
24,3.7880458256084353,2016-09-01
25,3.985087576285151,2016-10-01
26,4.050044303325521,2016-11-01
27,4.124873767256924,2016-12-01
28,4.298101399736121,2017-01-01
29,3.971046345877607,2017-02-01
30,3.782597457987688,2017-03-01
31,3.7887247890836524,2017-04-01
32,3.8628327612373745,2017-05-01
33,3.927305628959303,2017-06-01
34,3.894673367093033,2017-07-01
35,3.872033997211783,2017-08-01
36,3.902982260775997,2017-09-01
37,4.053348941518581,2017-10-01
38,4.103304303593573,2017-11-01
39,4.096675177560383,2017-12-01
40,3.947003974323392,2018-01-01
41,4.021236090401462,2018-02-01
42,3.7316994512968646,2018-03-01
43,3.7739097032985116,2018-04-01
44,4.014760082879258,2018-05-01
45,4.075161742805327,2018-06-01
46,4.132282401562493,2018-07-01
47,4.174387269895637,2018-08-01
48,4.273605885719461,2018-09-01
49,4.191168746857641,2018-10-01
50,4.142181891636261,2018-11-01
51,4.137244396537321,2018-12-01
52,4.142817215672879,2019-01-01
53,4.006059647354529,2019-02-01
54,3.8989377658794906,2019-03-01
55,3.930648469551311,2019-04-01
56,3.8903907053010323,2019-05-01
57,3.858622228701031,2019-06-01
58,3.9504741918023987,2019-07-01
59,3.8148510936758724,2019-08-01
60,3.751619483935122,2019-09-01
61,3.865769620910684,2019-10-01
62,3.775057150354989,2019-11-01
63,3.566429294357372,2019-12-01
64,3.7390971702745537,2020-01-01
65,3.5984075509498608,2020-02-01
66,3.342154841028372,2020-03-01
67,2.87976009730157,2020-04-01
68,3.077312260546414,2020-05-01
69,3.433664571799657,2020-06-01
70,3.5610460826040513,2020-07-01
71,3.6041382256588457,2020-08-01
72,3.755135249891002,2020-09-01
73,3.6232736970159425,2020-10-01
74,3.7591048990034333,2020-11-01
75,3.772071045000701,2020-12-01
76,4.152613470346076,2021-01-01
77,3.3965197921110444,2021-02-01
78,3.8370839187636525,2021-03-01
79,4.192680462942962,2021-04-01
80,4.218772140597153,2021-05-01
81,4.430102257905445,2021-06-01
82,4.530446639792155,2021-07-01
83,4.667675391339489,2021-08-01
84,5.053247684900132,2021-09-01
85,5.310591727423425,2021-10-01
86,5.285536032183304,2021-11-01
87,5.50415197873961,2021-12-01
88,5.327196326098413,2022-01-01
89,5.30831720112637,2022-02-01
90,5.660283288543347,2022-03-01
91,5.269815006075325,2022-04-01
92,5.235643772019978,2022-05-01
93,5.13420893917344,2022-06-01
94,4.964102579968039,2022-07-01
95,5.0401940963378005,2022-08-01
96,4.960674444942484,2022-09-01
97,4.858493705803434,2022-10-01
98,4.764820003517629,2022-11-01
99,4.618678536012884,2022-12-01
100,4.293195420967266,2023-01-01
101,4.909045438334623,2023-02-01
102,4.522549157299754,2023-03-01
103,4.308649164869106,2023-04-01
104,4.308783672906164,2023-05-01
105,4.541697763032518,2023-06-01
106,4.513164540192067,2023-07-01
107,4.3848975097655645,2023-08-01
