optimizers,epochs_,T,r2,Modelos
adam,50,10,0.92652966665219,<keras.src.engine.sequential.Sequential object at 0x000001AAEDC3F7F0>
adam,70,10,0.9335181325328291,<keras.src.engine.sequential.Sequential object at 0x000001AAD7007D60>
adam,100,10,0.9264104496896404,<keras.src.engine.sequential.Sequential object at 0x000001AADA483D60>
adam,120,10,0.9101078275191372,<keras.src.engine.sequential.Sequential object at 0x000001AA894AA320>
adam,150,10,0.9057186177743157,<keras.src.engine.sequential.Sequential object at 0x000001AAE30C9C90>
sgd,50,10,0.892392684038789,<keras.src.engine.sequential.Sequential object at 0x000001AAEFE8AFE0>
sgd,70,10,0.9111438649477465,<keras.src.engine.sequential.Sequential object at 0x000001AA9ADC7070>
sgd,100,10,0.9076655548337035,<keras.src.engine.sequential.Sequential object at 0x000001AA98D7E2F0>
sgd,120,10,0.9061625271910085,<keras.src.engine.sequential.Sequential object at 0x000001AAD91C4820>
sgd,150,10,0.9106317805291373,<keras.src.engine.sequential.Sequential object at 0x000001AAD91C4D30>
adam,50,20,0.9337590819604148,<keras.src.engine.sequential.Sequential object at 0x000001AAF6634FD0>
adam,70,20,0.9319131111687229,<keras.src.engine.sequential.Sequential object at 0x000001AB0D9D78E0>
adam,100,20,0.9290997204110869,<keras.src.engine.sequential.Sequential object at 0x000001AAE0AADCC0>
adam,120,20,0.9150898800621105,<keras.src.engine.sequential.Sequential object at 0x000001AAE0DC6FB0>
adam,150,20,0.9168703435868361,<keras.src.engine.sequential.Sequential object at 0x000001AAB3045870>
sgd,50,20,0.8960927150882295,<keras.src.engine.sequential.Sequential object at 0x000001AAE792B250>
sgd,70,20,0.9155823294251635,<keras.src.engine.sequential.Sequential object at 0x000001AB13E43160>
sgd,100,20,0.917164607017247,<keras.src.engine.sequential.Sequential object at 0x000001AAEDC194E0>
sgd,120,20,0.9174019229033309,<keras.src.engine.sequential.Sequential object at 0x000001AAF236D960>
sgd,150,20,0.9097265433942435,<keras.src.engine.sequential.Sequential object at 0x000001AAF236CA60>
adam,50,30,0.9155976613434229,<keras.src.engine.sequential.Sequential object at 0x000001AA8C611660>
adam,70,30,0.9398988655762276,<keras.src.engine.sequential.Sequential object at 0x000001AAE73ECDF0>
adam,100,30,0.9318350089970586,<keras.src.engine.sequential.Sequential object at 0x000001AB667A59C0>
adam,120,30,0.9374814146848391,<keras.src.engine.sequential.Sequential object at 0x000001AB656B9A50>
adam,150,30,0.9171785954764757,<keras.src.engine.sequential.Sequential object at 0x000001AAEFDE0190>
sgd,50,30,0.8910242468784116,<keras.src.engine.sequential.Sequential object at 0x000001AB185F71F0>
sgd,70,30,0.9132397850943198,<keras.src.engine.sequential.Sequential object at 0x000001AB87210760>
sgd,100,30,0.8670079323179526,<keras.src.engine.sequential.Sequential object at 0x000001AAAD967E20>
sgd,120,30,0.9256363705074878,<keras.src.engine.sequential.Sequential object at 0x000001AB2AE41090>
sgd,150,30,0.8888602936362461,<keras.src.engine.sequential.Sequential object at 0x000001AB5DF5B490>
