Fecha,Andalucia,Aragon,Cantabria,Castilla-La Mancha,Castilla-Leon,Cataluña,Pais Vasco,Asturias,Ceuta,Melilla,Madrid,Navarra,Valencia,Extremadura,Galicia,Baleares,Canarias,La Rioja,Murcia
2011-01-01,3611.37,956.5,394.46,1151.08,1308.02,4342.58,1653.04,1020.15,16.75,18.09,2989.14,442.76,2526.98,462.01,1856.31,477.26,744.52,163.77,731.16
2011-02-01,3206.56,872.53,366.57,1039.33,1189.42,3908.14,1590.31,920.4,15.25,16.47,2693.27,419.33,2271.57,407.24,1674.72,430.51,668.99,151.47,652.48
2011-03-01,3363.76,942.54,402.78,1092.29,1264.48,4218.75,1742.78,986.15,16.43,17.21,2819.43,453.44,2373.75,437.54,1789.36,454.44,736.78,162.84,685.6
2011-04-01,2902.82,825.73,361.94,895.0,1039.44,3592.54,1442.49,881.85,14.97,15.69,2245.19,378.08,1961.97,353.8,1583.51,393.42,697.16,130.21,592.38
2011-05-01,2988.73,874.73,379.05,942.66,1106.83,3886.56,1545.96,910.1,16.13,16.93,2372.78,415.01,2095.02,368.54,1613.76,454.31,717.47,141.86,627.6
2011-06-01,3254.12,865.66,358.44,984.58,1120.82,3883.06,1499.33,881.62,17.36,18.09,2477.35,417.51,2211.29,396.94,1571.52,503.3,726.47,141.15,669.46
2011-07-01,3635.55,867.66,365.12,1122.4,1183.74,4115.66,1380.73,883.63,18.65,19.65,2582.77,400.78,2451.76,423.96,1592.42,597.31,762.43,147.07,759.81
2011-08-01,3758.13,890.81,365.52,1098.09,1138.68,3973.69,1157.07,863.51,18.45,20.9,2537.76,397.91,2349.17,478.3,1613.75,639.48,775.49,144.41,757.67
2011-09-01,3308.56,873.39,366.75,966.13,1116.46,4070.32,1418.99,866.02,16.69,18.73,2433.74,415.15,2279.0,406.36,1605.24,554.48,761.34,145.67,694.01
2011-10-01,3127.76,818.36,386.81,898.36,1107.74,3824.78,1458.76,896.32,17.72,17.82,2399.12,416.43,2096.14,382.71,1652.41,449.17,780.23,144.4,679.15
2011-11-01,3139.74,852.51,373.53,952.03,1158.52,3891.9,1414.67,895.64,16.76,16.93,2530.4,420.21,2076.46,397.23,1691.41,370.57,736.03,147.27,642.89
2011-12-01,3453.07,858.2,370.5,1086.33,1246.24,3947.76,1376.0,907.26,17.81,18.37,2860.51,406.81,2252.81,424.59,1776.61,415.75,756.08,154.03,706.56
2012-01-01,3603.91,922.99,353.76,1110.1,1310.53,4239.81,1559.92,963.04,18.52,19.0,2950.11,440.3,2401.07,465.96,1831.31,459.5,758.3,158.81,747.69
2012-02-01,3502.9,925.75,387.87,1144.6,1289.4,4222.72,1593.3,954.07,18.04,18.44,2918.7,441.17,2436.51,444.99,1769.22,505.0,708.86,160.3,735.32
2012-03-01,3264.26,894.52,379.17,1013.66,1176.23,4041.35,1510.58,932.98,17.63,17.6,2575.52,416.25,2162.7,403.73,1726.4,435.1,743.04,146.46,699.9
2012-04-01,2995.29,813.06,365.91,918.42,1075.11,3659.47,1329.45,880.42,16.67,16.07,2348.6,373.61,1935.25,366.29,1615.97,400.79,689.16,133.62,641.81
2012-05-01,3102.64,851.06,369.68,965.79,1093.95,3843.43,1401.83,880.67,17.5,17.08,2403.49,400.61,2049.03,367.09,1598.69,449.53,722.46,136.48,684.27
2012-06-01,3310.63,835.58,354.3,1015.59,1101.37,3956.77,1382.32,838.45,17.49,18.29,2514.84,399.72,2212.1,390.48,1524.53,533.42,726.09,140.04,740.78
2012-07-01,3568.87,836.17,359.46,1086.91,1153.64,4189.67,1307.32,821.5,17.75,20.08,2618.45,388.96,2447.38,407.48,1489.52,611.53,768.63,146.84,811.06
2012-08-01,3693.26,870.74,365.47,1088.75,1132.06,4056.92,1142.66,772.68,18.56,21.15,2521.64,386.46,2373.51,465.1,1593.07,674.58,794.88,142.46,815.45
2012-09-01,3189.21,808.66,366.14,898.49,1047.92,3801.69,1336.43,768.85,17.12,18.32,2289.7,379.36,2116.5,412.19,1527.05,512.43,764.05,134.08,696.79
2012-10-01,2981.12,816.91,381.21,861.54,1089.39,3828.4,1381.5,800.8,17.69,17.51,2349.05,397.15,2017.26,379.35,1619.06,448.36,765.43,143.66,661.23
2012-11-01,3018.01,844.92,370.87,925.52,1147.16,3854.6,1419.5,820.57,17.36,16.31,2515.23,400.68,2068.12,401.68,1669.15,369.89,719.44,146.31,635.02
2012-12-01,3351.94,849.26,362.48,1048.71,1209.07,3906.98,1320.3,864.24,17.74,17.48,2773.51,385.31,2192.12,436.43,1750.81,421.29,728.24,147.5,701.7
2013-01-01,3427.3,898.06,381.78,1064.95,1261.24,4219.95,1541.13,916.68,17.91,17.9,2891.0,425.59,2331.74,451.18,1820.9,445.26,732.19,158.74,729.94
2013-02-01,3083.17,833.0,347.42,968.57,1156.06,3829.25,1453.3,867.68,15.56,16.18,2595.56,397.39,2110.49,403.78,1663.7,423.3,659.62,144.19,664.76
2013-03-01,3212.19,864.08,395.46,1003.7,1189.62,3920.76,1489.39,926.36,15.41,16.45,2600.43,401.59,2135.27,412.26,1787.32,424.15,710.43,147.65,677.45
2013-04-01,2901.51,814.43,371.95,898.07,1078.99,3666.17,1416.86,871.41,14.58,15.88,2325.17,385.95,1941.96,363.41,1643.78,396.59,696.17,135.65,638.92
2013-05-01,2917.38,814.79,371.18,863.79,1079.74,3685.53,1410.94,868.81,15.7,16.67,2246.81,401.39,1994.62,353.44,1625.41,441.05,702.6,135.47,636.01
2013-06-01,2960.96,800.03,349.32,934.5,1035.93,3605.12,1314.97,812.01,15.76,16.56,2227.97,381.86,2016.5,367.18,1509.23,479.13,682.88,124.89,665.66
2013-07-01,3476.42,878.55,366.19,1083.91,1187.61,4187.49,1240.6,861.62,17.87,18.85,2588.33,399.8,2424.15,436.74,1565.18,620.75,747.66,150.72,767.95
2013-08-01,3536.56,850.8,361.01,1047.74,1117.61,3828.63,1119.68,812.65,18.95,20.34,2372.56,374.47,2219.51,465.17,1597.17,631.29,767.88,132.33,750.69
2013-09-01,3109.62,823.9,351.81,915.86,1059.89,3729.09,1347.55,825.81,17.33,18.28,2226.99,384.81,2108.43,416.34,1555.88,512.27,720.89,132.22,670.94
2013-10-01,2965.42,813.54,354.97,859.31,1086.99,3769.57,1426.41,861.45,16.94,17.79,2256.7,410.0,2114.15,373.21,1625.27,461.79,747.65,142.82,687.81
2013-11-01,3065.0,842.65,377.42,923.79,1159.97,3802.66,1460.01,869.26,17.49,16.82,2478.44,410.91,2153.52,386.85,1674.27,394.68,710.16,145.02,685.23
2013-12-01,3417.96,868.48,360.63,1064.5,1229.34,3947.14,1330.08,920.32,18.47,17.93,2789.67,403.21,2277.45,422.61,1801.88,436.61,721.37,149.38,726.31
2014-01-01,3406.75,882.11,343.03,1045.9,1240.21,4100.45,1482.89,926.94,18.81,18.0,2752.59,426.55,2282.88,437.65,1822.61,424.81,721.43,153.41,714.37
2014-02-01,3092.75,834.87,349.41,941.29,1155.2,3785.73,1438.91,865.9,17.22,16.1,2507.41,409.18,2080.95,386.08,1691.33,384.58,656.36,140.89,658.38
2014-03-01,3137.46,868.73,392.01,998.29,1175.59,3909.79,1558.02,908.94,17.74,16.99,2461.42,419.67,2112.13,372.18,1739.45,414.23,705.26,145.85,684.37
2014-04-01,2813.33,796.59,365.17,928.42,1049.57,3495.82,1354.81,845.62,14.8,15.72,2134.92,379.41,1925.17,326.02,1583.11,388.49,674.04,129.13,646.44
2014-05-01,2957.22,829.12,369.08,999.68,1088.33,3638.51,1415.06,851.28,17.09,16.57,2157.51,395.86,2014.12,342.97,1595.75,436.41,694.93,132.47,664.71
2014-06-01,3020.55,821.59,346.33,958.6,1078.43,3683.16,1405.26,809.9,17.3,17.19,2202.68,398.16,2112.83,366.57,1526.79,507.7,686.36,133.65,693.94
2014-07-01,3345.24,851.0,353.5,990.87,1159.23,4088.78,1331.59,841.18,18.28,18.83,2396.13,393.72,2401.73,400.37,1572.34,599.45,730.11,145.46,787.22
2014-08-01,3387.48,841.8,358.96,1020.73,1099.21,3715.49,1104.54,822.07,18.63,19.81,2266.7,357.77,2248.85,447.15,1554.39,627.35,745.35,131.09,785.37
2014-09-01,3127.4,851.04,352.14,958.57,1084.28,3836.72,1392.73,825.38,18.51,18.72,2267.69,403.4,2273.01,399.05,1581.15,569.55,745.72,140.82,741.48
2014-10-01,2904.45,825.48,368.09,850.47,1079.86,3772.33,1484.17,857.12,18.2,17.69,2227.56,404.63,2082.08,357.97,1624.73,454.59,759.89,144.24,679.36
2014-11-01,2914.37,834.06,366.36,884.39,1116.91,3649.98,1471.36,866.89,17.37,16.49,2337.52,400.32,2056.8,373.08,1672.19,354.47,706.52,140.59,670.91
2014-12-01,3340.78,850.86,362.09,1028.86,1202.4,3894.91,1357.92,904.38,18.32,17.7,2654.74,393.02,2222.91,415.57,1791.8,415.84,719.94,148.36,728.69
2015-01-01,3485.43,903.65,374.89,1069.55,1265.45,4166.77,1565.68,956.26,18.7,18.44,2785.64,426.41,2391.97,456.05,1865.88,450.34,728.28,155.9,765.48
2015-02-01,3167.18,849.7,350.42,967.54,1183.59,3875.79,1509.78,890.8,16.23,16.88,2543.2,417.94,2216.91,407.78,1718.82,432.57,659.11,146.87,708.02
2015-03-01,3150.61,904.81,393.9,964.93,1201.74,3960.24,1567.56,929.54,15.9,16.66,2446.46,424.38,2192.37,393.25,1745.71,438.11,712.2,149.75,712.51
2015-04-01,2809.9,800.76,348.26,851.27,1056.68,3547.21,1381.72,856.93,15.14,15.74,2120.82,380.28,1955.26,343.62,1577.76,396.13,671.85,130.67,653.73
2015-05-01,3047.14,852.27,358.31,978.38,1096.36,3692.79,1443.63,863.4,16.65,16.67,2197.38,408.22,2085.21,367.99,1598.33,449.84,701.3,134.18,716.4
2015-06-01,3184.11,848.75,341.6,954.58,1100.19,3864.7,1418.18,822.46,16.9,17.19,2348.36,410.37,2221.76,399.27,1547.15,522.86,682.68,136.54,745.17
2015-07-01,3923.74,925.58,360.85,1127.87,1272.52,4505.64,1346.42,878.11,19.16,21.68,2821.41,413.82,2740.93,457.67,1595.86,695.63,764.25,159.92,914.68
2015-08-01,3621.94,845.5,353.61,1036.02,1120.54,3854.65,1171.02,832.51,18.61,21.17,2324.27,368.37,2340.35,464.55,1552.95,655.99,763.97,133.75,840.27
2015-09-01,3034.13,826.62,341.77,884.88,1066.99,3715.26,1383.11,819.98,16.59,17.75,2135.97,389.28,2158.89,397.41,1541.75,523.71,746.71,136.48,710.07
2015-10-01,2956.53,840.1,348.2,853.2,1114.24,3756.93,1449.64,872.88,16.97,17.41,2197.71,405.08,2075.8,366.36,1626.65,447.1,756.83,143.57,713.74
2015-11-01,2921.43,844.54,348.33,878.46,1148.08,3757.93,1431.25,864.29,16.1,16.37,2312.52,406.61,2095.79,371.71,1636.1,368.53,713.29,144.64,686.15
2015-12-01,3236.45,851.15,331.07,975.42,1200.7,3876.73,1319.52,900.38,17.09,17.25,2557.61,393.34,2197.42,393.74,1708.53,407.17,732.74,148.08,738.36
