Fecha,Energia Consumida Mw/h
2011-01-01,605.99
2011-01-02,641.86
2011-01-03,801.3
2011-01-04,833.25
2011-01-05,803.48
2011-01-06,659.17
2011-01-07,745.35
2011-01-08,714.2
2011-01-09,676.57
2011-01-10,825.09
2011-01-11,839.41
2011-01-12,831.75
2011-01-13,831.68
2011-01-14,828.36
2011-01-15,740.28
2011-01-16,690.53
2011-01-17,833.38
2011-01-18,854.01
2011-01-19,852.74
2011-01-20,848.13
2011-01-21,869.54
2011-01-22,811.26
2011-01-23,762.61
2011-01-24,909.27
2011-01-25,925.84
2011-01-26,922.89
2011-01-27,908.66
2011-01-28,893.97
2011-01-29,789.68
2011-01-30,731.64
2011-01-31,884.11
2011-02-01,896.37
2011-02-02,888.99
2011-02-03,880.05
2011-02-04,863.2
2011-02-05,764.26
2011-02-06,695.03
2011-02-07,833.54
2011-02-08,857.81
2011-02-09,854.9
2011-02-10,847.73
2011-02-11,840.68
2011-02-12,749.06
2011-02-13,693.92
2011-02-14,837.84
2011-02-15,867.72
2011-02-16,862.55
2011-02-17,867.48
2011-02-18,844.06
2011-02-19,753.14
2011-02-20,678.34
2011-02-21,813.13
2011-02-22,813.5
2011-02-23,792.26
2011-02-24,790.55
2011-02-25,780.62
2011-02-26,698.19
2011-02-27,643.62
2011-02-28,786.01
2011-03-01,838.91
2011-03-02,857.4
2011-03-03,872.25
2011-03-04,872.09
2011-03-05,751.94
2011-03-06,679.0
2011-03-07,798.63
2011-03-08,826.5
2011-03-09,837.59
2011-03-10,826.07
2011-03-11,830.68
2011-03-12,735.54
2011-03-13,660.6
2011-03-14,806.16
2011-03-15,820.88
2011-03-16,821.4
2011-03-17,796.02
2011-03-18,774.56
2011-03-19,672.32
2011-03-20,620.39
2011-03-21,761.08
2011-03-22,786.18
2011-03-23,800.89
2011-03-24,795.39
2011-03-25,778.61
2011-03-26,686.67
2011-03-27,605.05
2011-03-28,755.23
2011-03-29,769.21
2011-03-30,769.48
2011-03-31,753.62
2011-04-01,739.28
2011-04-02,651.74
2011-04-03,605.9
2011-04-04,724.92
2011-04-05,736.42
2011-04-06,739.28
2011-04-07,732.2
2011-04-08,735.24
2011-04-09,648.44
2011-04-10,592.95
2011-04-11,717.89
2011-04-12,734.04
2011-04-13,730.79
2011-04-14,733.16
2011-04-15,732.74
2011-04-16,654.13
2011-04-17,588.09
2011-04-18,699.18
2011-04-19,714.25
2011-04-20,699.45
2011-04-21,603.83
2011-04-22,557.7
2011-04-23,581.22
2011-04-24,552.42
2011-04-25,621.97
2011-04-26,699.88
2011-04-27,712.55
2011-04-28,714.34
2011-04-29,718.15
2011-04-30,636.04
2011-05-01,553.11
2011-05-02,638.82
2011-05-03,713.17
2011-05-04,723.35
2011-05-05,726.62
2011-05-06,721.23
2011-05-07,643.46
2011-05-08,577.05
2011-05-09,706.55
2011-05-10,728.33
2011-05-11,732.31
2011-05-12,732.97
2011-05-13,729.7
2011-05-14,657.06
2011-05-15,582.28
2011-05-16,703.88
2011-05-17,720.29
2011-05-18,733.28
2011-05-19,730.3
2011-05-20,718.02
2011-05-21,642.17
2011-05-22,580.82
2011-05-23,721.33
2011-05-24,751.96
2011-05-25,763.35
2011-05-26,768.99
2011-05-27,753.57
2011-05-28,660.43
2011-05-29,599.69
2011-05-30,719.8
2011-05-31,740.15
2011-06-01,736.51
2011-06-02,731.59
2011-06-03,728.18
2011-06-04,650.94
2011-06-05,593.26
2011-06-06,717.83
2011-06-07,729.12
2011-06-08,726.96
2011-06-09,726.2
2011-06-10,729.08
2011-06-11,651.72
